movieId = 1
min support - 0.1
min confidence - 0.8
max length - 3.0
{2} -> {1} (conf: 1.000, supp: 0.104, lift: 1.000, conv: 0.000)
{316} -> {1} (conf: 1.000, supp: 0.130, lift: 1.000, conv: 0.000)
{318} -> {1} (conf: 1.000, supp: 0.528, lift: 1.000, conv: 0.000)
{329} -> {1} (conf: 1.000, supp: 0.107, lift: 1.000, conv: 0.000)
{337} -> {1} (conf: 1.000, supp: 0.123, lift: 1.000, conv: 0.000)
{339} -> {1} (conf: 1.000, supp: 0.111, lift: 1.000, conv: 0.000)
{344} -> {1} (conf: 1.000, supp: 0.123, lift: 1.000, conv: 0.000)
{349} -> {1} (conf: 1.000, supp: 0.156, lift: 1.000, conv: 0.000)
{356} -> {1} (conf: 1.000, supp: 0.490, lift: 1.000, conv: 0.000)
{357} -> {1} (conf: 1.000, supp: 0.174, lift: 1.000, conv: 0.000)
{364} -> {1} (conf: 1.000, supp: 0.340, lift: 1.000, conv: 0.000)
{367} -> {1} (conf: 1.000, supp: 0.142, lift: 1.000, conv: 0.000)
{377} -> {1} (conf: 1.000, supp: 0.215, lift: 1.000, conv: 0.000)
{380} -> {1} (conf: 1.000, supp: 0.229, lift: 1.000, conv: 0.000)
{440} -> {1} (conf: 1.000, supp: 0.128, lift: 1.000, conv: 0.000)
{454} -> {1} (conf: 1.000, supp: 0.107, lift: 1.000, conv: 0.000)
{457} -> {1} (conf: 1.000, supp: 0.377, lift: 1.000, conv: 0.000)
{474} -> {1} (conf: 1.000, supp: 0.125, lift: 1.000, conv: 0.000)
{480} -> {1} (conf: 1.000, supp: 0.374, lift: 1.000, conv: 0.000)
{497} -> {1} (conf: 1.000, supp: 0.115, lift: 1.000, conv: 0.000)
{500} -> {1} (conf: 1.000, supp: 0.167, lift: 1.000, conv: 0.000)
{508} -> {1} (conf: 1.000, supp: 0.136, lift: 1.000, conv: 0.000)
{527} -> {1} (conf: 1.000, supp: 0.401, lift: 1.000, conv: 0.000)
{539} -> {1} (conf: 1.000, supp: 0.157, lift: 1.000, conv: 0.000)
{541} -> {1} (conf: 1.000, supp: 0.254, lift: 1.000, conv: 0.000)
{551} -> {1} (conf: 1.000, supp: 0.177, lift: 1.000, conv: 0.000)
{555} -> {1} (conf: 1.000, supp: 0.105, lift: 1.000, conv: 0.000)
{586} -> {1} (conf: 1.000, supp: 0.111, lift: 1.000, conv: 0.000)
{587} -> {1} (conf: 1.000, supp: 0.144, lift: 1.000, conv: 0.000)
{588} -> {1} (conf: 1.000, supp: 0.344, lift: 1.000, conv: 0.000)
{589} -> {1} (conf: 1.000, supp: 0.389, lift: 1.000, conv: 0.000)
{590} -> {1} (conf: 1.000, supp: 0.261, lift: 1.000, conv: 0.000)
{592} -> {1} (conf: 1.000, supp: 0.233, lift: 1.000, conv: 0.000)
{593} -> {1} (conf: 1.000, supp: 0.473, lift: 1.000, conv: 0.000)
{594} -> {1} (conf: 1.000, supp: 0.139, lift: 1.000, conv: 0.000)
{595} -> {1} (conf: 1.000, supp: 0.278, lift: 1.000, conv: 0.000)
{597} -> {1} (conf: 1.000, supp: 0.157, lift: 1.000, conv: 0.000)
{608} -> {1} (conf: 1.000, supp: 0.377, lift: 1.000, conv: 0.000)
{648} -> {1} (conf: 1.000, supp: 0.210, lift: 1.000, conv: 0.000)
{708} -> {1} (conf: 1.000, supp: 0.101, lift: 1.000, conv: 0.000)
{733} -> {1} (conf: 1.000, supp: 0.233, lift: 1.000, conv: 0.000)
{736} -> {1} (conf: 1.000, supp: 0.152, lift: 1.000, conv: 0.000)
{745} -> {1} (conf: 1.000, supp: 0.153, lift: 1.000, conv: 0.000)
{750} -> {1} (conf: 1.000, supp: 0.194, lift: 1.000, conv: 0.000)
{778} -> {1} (conf: 1.000, supp: 0.189, lift: 1.000, conv: 0.000)
{780} -> {1} (conf: 1.000, supp: 0.266, lift: 1.000, conv: 0.000)
{858} -> {1} (conf: 1.000, supp: 0.343, lift: 1.000, conv: 0.000)
{899} -> {1} (conf: 1.000, supp: 0.101, lift: 1.000, conv: 0.000)
{903} -> {1} (conf: 1.000, supp: 0.125, lift: 1.000, conv: 0.000)
{904} -> {1} (conf: 1.000, supp: 0.168, lift: 1.000, conv: 0.000)
{908} -> {1} (conf: 1.000, supp: 0.147, lift: 1.000, conv: 0.000)
{910} -> {1} (conf: 1.000, supp: 0.100, lift: 1.000, conv: 0.000)
{912} -> {1} (conf: 1.000, supp: 0.210, lift: 1.000, conv: 0.000)
{913} -> {1} (conf: 1.000, supp: 0.104, lift: 1.000, conv: 0.000)
{919} -> {1} (conf: 1.000, supp: 0.234, lift: 1.000, conv: 0.000)
{920} -> {1} (conf: 1.000, supp: 0.107, lift: 1.000, conv: 0.000)
{923} -> {1} (conf: 1.000, supp: 0.150, lift: 1.000, conv: 0.000)
{924} -> {1} (conf: 1.000, supp: 0.190, lift: 1.000, conv: 0.000)
{953} -> {1} (conf: 1.000, supp: 0.147, lift: 1.000, conv: 0.000)
{1028} -> {1} (conf: 1.000, supp: 0.134, lift: 1.000, conv: 0.000)
{1035} -> {1} (conf: 1.000, supp: 0.124, lift: 1.000, conv: 0.000)
{1036} -> {1} (conf: 1.000, supp: 0.276, lift: 1.000, conv: 0.000)
{1073} -> {1} (conf: 1.000, supp: 0.261, lift: 1.000, conv: 0.000)
{1079} -> {1} (conf: 1.000, supp: 0.179, lift: 1.000, conv: 0.000)
{1080} -> {1} (conf: 1.000, supp: 0.174, lift: 1.000, conv: 0.000)
{1089} -> {1} (conf: 1.000, supp: 0.232, lift: 1.000, conv: 0.000)
{1090} -> {1} (conf: 1.000, supp: 0.138, lift: 1.000, conv: 0.000)
{1097} -> {1} (conf: 1.000, supp: 0.278, lift: 1.000, conv: 0.000)
{1101} -> {1} (conf: 1.000, supp: 0.124, lift: 1.000, conv: 0.000)
{1127} -> {1} (conf: 1.000, supp: 0.128, lift: 1.000, conv: 0.000)
{1136} -> {1} (conf: 1.000, supp: 0.321, lift: 1.000, conv: 0.000)
{1148} -> {1} (conf: 1.000, supp: 0.178, lift: 1.000, conv: 0.000)
{1183} -> {1} (conf: 1.000, supp: 0.103, lift: 1.000, conv: 0.000)
{1193} -> {1} (conf: 1.000, supp: 0.249, lift: 1.000, conv: 0.000)
{1196} -> {1} (conf: 1.000, supp: 0.429, lift: 1.000, conv: 0.000)
{1197} -> {1} (conf: 1.000, supp: 0.334, lift: 1.000, conv: 0.000)
{1198} -> {1} (conf: 1.000, supp: 0.422, lift: 1.000, conv: 0.000)
{1199} -> {1} (conf: 1.000, supp: 0.117, lift: 1.000, conv: 0.000)
{1200} -> {1} (conf: 1.000, supp: 0.243, lift: 1.000, conv: 0.000)
{1201} -> {1} (conf: 1.000, supp: 0.125, lift: 1.000, conv: 0.000)
{1203} -> {1} (conf: 1.000, supp: 0.120, lift: 1.000, conv: 0.000)
{1204} -> {1} (conf: 1.000, supp: 0.107, lift: 1.000, conv: 0.000)
{1206} -> {1} (conf: 1.000, supp: 0.186, lift: 1.000, conv: 0.000)
{1207} -> {1} (conf: 1.000, supp: 0.144, lift: 1.000, conv: 0.000)
{1208} -> {1} (conf: 1.000, supp: 0.182, lift: 1.000, conv: 0.000)
{1210} -> {1} (conf: 1.000, supp: 0.426, lift: 1.000, conv: 0.000)
{1213} -> {1} (conf: 1.000, supp: 0.231, lift: 1.000, conv: 0.000)
{1214} -> {1} (conf: 1.000, supp: 0.265, lift: 1.000, conv: 0.000)
{1219} -> {1} (conf: 1.000, supp: 0.173, lift: 1.000, conv: 0.000)
{1220} -> {1} (conf: 1.000, supp: 0.164, lift: 1.000, conv: 0.000)
{1221} -> {1} (conf: 1.000, supp: 0.220, lift: 1.000, conv: 0.000)
{1222} -> {1} (conf: 1.000, supp: 0.179, lift: 1.000, conv: 0.000)
{1225} -> {1} (conf: 1.000, supp: 0.184, lift: 1.000, conv: 0.000)
{1230} -> {1} (conf: 1.000, supp: 0.122, lift: 1.000, conv: 0.000)
{1233} -> {1} (conf: 1.000, supp: 0.112, lift: 1.000, conv: 0.000)
{1234} -> {1} (conf: 1.000, supp: 0.157, lift: 1.000, conv: 0.000)
{1240} -> {1} (conf: 1.000, supp: 0.284, lift: 1.000, conv: 0.000)
{1242} -> {1} (conf: 1.000, supp: 0.121, lift: 1.000, conv: 0.000)
{1246} -> {1} (conf: 1.000, supp: 0.176, lift: 1.000, conv: 0.000)
{1247} -> {1} (conf: 1.000, supp: 0.145, lift: 1.000, conv: 0.000)
{1250} -> {1} (conf: 1.000, supp: 0.112, lift: 1.000, conv: 0.000)
{1252} -> {1} (conf: 1.000, supp: 0.127, lift: 1.000, conv: 0.000)
{1258} -> {1} (conf: 1.000, supp: 0.188, lift: 1.000, conv: 0.000)
{1259} -> {1} (conf: 1.000, supp: 0.205, lift: 1.000, conv: 0.000)
{1262} -> {1} (conf: 1.000, supp: 0.110, lift: 1.000, conv: 0.000)
{1265} -> {1} (conf: 1.000, supp: 0.304, lift: 1.000, conv: 0.000)
{1266} -> {1} (conf: 1.000, supp: 0.137, lift: 1.000, conv: 0.000)
{1270} -> {1} (conf: 1.000, supp: 0.389, lift: 1.000, conv: 0.000)
{1276} -> {1} (conf: 1.000, supp: 0.105, lift: 1.000, conv: 0.000)
{1278} -> {1} (conf: 1.000, supp: 0.155, lift: 1.000, conv: 0.000)
{1282} -> {1} (conf: 1.000, supp: 0.117, lift: 1.000, conv: 0.000)
{1288} -> {1} (conf: 1.000, supp: 0.150, lift: 1.000, conv: 0.000)
{1291} -> {1} (conf: 1.000, supp: 0.306, lift: 1.000, conv: 0.000)
{1302} -> {1} (conf: 1.000, supp: 0.105, lift: 1.000, conv: 0.000)
{1304} -> {1} (conf: 1.000, supp: 0.144, lift: 1.000, conv: 0.000)
{1307} -> {1} (conf: 1.000, supp: 0.197, lift: 1.000, conv: 0.000)
{1356} -> {1} (conf: 1.000, supp: 0.169, lift: 1.000, conv: 0.000)
{1358} -> {1} (conf: 1.000, supp: 0.123, lift: 1.000, conv: 0.000)
{1374} -> {1} (conf: 1.000, supp: 0.132, lift: 1.000, conv: 0.000)
{1387} -> {1} (conf: 1.000, supp: 0.193, lift: 1.000, conv: 0.000)
{1393} -> {1} (conf: 1.000, supp: 0.182, lift: 1.000, conv: 0.000)
{1394} -> {1} (conf: 1.000, supp: 0.145, lift: 1.000, conv: 0.000)
{1500} -> {1} (conf: 1.000, supp: 0.130, lift: 1.000, conv: 0.000)
{1517} -> {1} (conf: 1.000, supp: 0.155, lift: 1.000, conv: 0.000)
{1527} -> {1} (conf: 1.000, supp: 0.200, lift: 1.000, conv: 0.000)
{1573} -> {1} (conf: 1.000, supp: 0.103, lift: 1.000, conv: 0.000)
{1580} -> {1} (conf: 1.000, supp: 0.261, lift: 1.000, conv: 0.000)
{1584} -> {1} (conf: 1.000, supp: 0.146, lift: 1.000, conv: 0.000)
{1610} -> {1} (conf: 1.000, supp: 0.185, lift: 1.000, conv: 0.000)
{1617} -> {1} (conf: 1.000, supp: 0.230, lift: 1.000, conv: 0.000)
{1625} -> {1} (conf: 1.000, supp: 0.119, lift: 1.000, conv: 0.000)
{1639} -> {1} (conf: 1.000, supp: 0.102, lift: 1.000, conv: 0.000)
{1641} -> {1} (conf: 1.000, supp: 0.130, lift: 1.000, conv: 0.000)
{1653} -> {1} (conf: 1.000, supp: 0.138, lift: 1.000, conv: 0.000)
{1682} -> {1} (conf: 1.000, supp: 0.208, lift: 1.000, conv: 0.000)
{1704} -> {1} (conf: 1.000, supp: 0.255, lift: 1.000, conv: 0.000)
{1721} -> {1} (conf: 1.000, supp: 0.177, lift: 1.000, conv: 0.000)
{1732} -> {1} (conf: 1.000, supp: 0.160, lift: 1.000, conv: 0.000)
{1784} -> {1} (conf: 1.000, supp: 0.183, lift: 1.000, conv: 0.000)
{1923} -> {1} (conf: 1.000, supp: 0.176, lift: 1.000, conv: 0.000)
{1954} -> {1} (conf: 1.000, supp: 0.123, lift: 1.000, conv: 0.000)
{1961} -> {1} (conf: 1.000, supp: 0.204, lift: 1.000, conv: 0.000)
{1968} -> {1} (conf: 1.000, supp: 0.179, lift: 1.000, conv: 0.000)
{2000} -> {1} (conf: 1.000, supp: 0.142, lift: 1.000, conv: 0.000)
{2011} -> {1} (conf: 1.000, supp: 0.123, lift: 1.000, conv: 0.000)
{2012} -> {1} (conf: 1.000, supp: 0.102, lift: 1.000, conv: 0.000)
{2019} -> {1} (conf: 1.000, supp: 0.103, lift: 1.000, conv: 0.000)
{2028} -> {1} (conf: 1.000, supp: 0.319, lift: 1.000, conv: 0.000)
{2081} -> {1} (conf: 1.000, supp: 0.126, lift: 1.000, conv: 0.000)
{2115} -> {1} (conf: 1.000, supp: 0.161, lift: 1.000, conv: 0.000)
{2174} -> {1} (conf: 1.000, supp: 0.137, lift: 1.000, conv: 0.000)
{2194} -> {1} (conf: 1.000, supp: 0.139, lift: 1.000, conv: 0.000)
{2268} -> {1} (conf: 1.000, supp: 0.132, lift: 1.000, conv: 0.000)
{2291} -> {1} (conf: 1.000, supp: 0.164, lift: 1.000, conv: 0.000)
{2302} -> {1} (conf: 1.000, supp: 0.106, lift: 1.000, conv: 0.000)
{2321} -> {1} (conf: 1.000, supp: 0.107, lift: 1.000, conv: 0.000)
{2324} -> {1} (conf: 1.000, supp: 0.160, lift: 1.000, conv: 0.000)
{2329} -> {1} (conf: 1.000, supp: 0.179, lift: 1.000, conv: 0.000)
{2355} -> {1} (conf: 1.000, supp: 0.203, lift: 1.000, conv: 0.000)
{2395} -> {1} (conf: 1.000, supp: 0.108, lift: 1.000, conv: 0.000)
{2396} -> {1} (conf: 1.000, supp: 0.196, lift: 1.000, conv: 0.000)
{2502} -> {1} (conf: 1.000, supp: 0.174, lift: 1.000, conv: 0.000)
{2542} -> {1} (conf: 1.000, supp: 0.125, lift: 1.000, conv: 0.000)
{2571} -> {1} (conf: 1.000, supp: 0.421, lift: 1.000, conv: 0.000)
{2599} -> {1} (conf: 1.000, supp: 0.108, lift: 1.000, conv: 0.000)
{2628} -> {1} (conf: 1.000, supp: 0.128, lift: 1.000, conv: 0.000)
{2683} -> {1} (conf: 1.000, supp: 0.118, lift: 1.000, conv: 0.000)
{2692} -> {1} (conf: 1.000, supp: 0.139, lift: 1.000, conv: 0.000)
{2700} -> {1} (conf: 1.000, supp: 0.134, lift: 1.000, conv: 0.000)
{2706} -> {1} (conf: 1.000, supp: 0.121, lift: 1.000, conv: 0.000)
{2716} -> {1} (conf: 1.000, supp: 0.244, lift: 1.000, conv: 0.000)
{2762} -> {1} (conf: 1.000, supp: 0.335, lift: 1.000, conv: 0.000)
{2791} -> {1} (conf: 1.000, supp: 0.165, lift: 1.000, conv: 0.000)
{2797} -> {1} (conf: 1.000, supp: 0.167, lift: 1.000, conv: 0.000)
{2804} -> {1} (conf: 1.000, supp: 0.136, lift: 1.000, conv: 0.000)
{2858} -> {1} (conf: 1.000, supp: 0.333, lift: 1.000, conv: 0.000)
{2916} -> {1} (conf: 1.000, supp: 0.137, lift: 1.000, conv: 0.000)
{2918} -> {1} (conf: 1.000, supp: 0.227, lift: 1.000, conv: 0.000)
{2959} -> {1} (conf: 1.000, supp: 0.298, lift: 1.000, conv: 0.000)
{2987} -> {1} (conf: 1.000, supp: 0.165, lift: 1.000, conv: 0.000)
{2997} -> {1} (conf: 1.000, supp: 0.212, lift: 1.000, conv: 0.000)
{3052} -> {1} (conf: 1.000, supp: 0.115, lift: 1.000, conv: 0.000)
{3114} -> {1} (conf: 1.000, supp: 0.317, lift: 1.000, conv: 0.000)
{3147} -> {1} (conf: 1.000, supp: 0.184, lift: 1.000, conv: 0.000)
{3175} -> {1} (conf: 1.000, supp: 0.115, lift: 1.000, conv: 0.000)
{3408} -> {1} (conf: 1.000, supp: 0.101, lift: 1.000, conv: 0.000)
{3421} -> {1} (conf: 1.000, supp: 0.101, lift: 1.000, conv: 0.000)
{3471} -> {1} (conf: 1.000, supp: 0.119, lift: 1.000, conv: 0.000)
{3481} -> {1} (conf: 1.000, supp: 0.129, lift: 1.000, conv: 0.000)
{3578} -> {1} (conf: 1.000, supp: 0.254, lift: 1.000, conv: 0.000)
{3671} -> {1} (conf: 1.000, supp: 0.103, lift: 1.000, conv: 0.000)
{3751} -> {1} (conf: 1.000, supp: 0.136, lift: 1.000, conv: 0.000)
{3793} -> {1} (conf: 1.000, supp: 0.180, lift: 1.000, conv: 0.000)
{3897} -> {1} (conf: 1.000, supp: 0.144, lift: 1.000, conv: 0.000)
{3949} -> {1} (conf: 1.000, supp: 0.101, lift: 1.000, conv: 0.000)
{3996} -> {1} (conf: 1.000, supp: 0.201, lift: 1.000, conv: 0.000)
{4011} -> {1} (conf: 1.000, supp: 0.137, lift: 1.000, conv: 0.000)
{4022} -> {1} (conf: 1.000, supp: 0.135, lift: 1.000, conv: 0.000)
{4027} -> {1} (conf: 1.000, supp: 0.166, lift: 1.000, conv: 0.000)
{4034} -> {1} (conf: 1.000, supp: 0.123, lift: 1.000, conv: 0.000)
{4226} -> {1} (conf: 1.000, supp: 0.246, lift: 1.000, conv: 0.000)
{4306} -> {1} (conf: 1.000, supp: 0.290, lift: 1.000, conv: 0.000)
{4878} -> {1} (conf: 1.000, supp: 0.133, lift: 1.000, conv: 0.000)
{4886} -> {1} (conf: 1.000, supp: 0.256, lift: 1.000, conv: 0.000)
{4896} -> {1} (conf: 1.000, supp: 0.130, lift: 1.000, conv: 0.000)
{4963} -> {1} (conf: 1.000, supp: 0.183, lift: 1.000, conv: 0.000)
{4973} -> {1} (conf: 1.000, supp: 0.179, lift: 1.000, conv: 0.000)
{4993} -> {1} (conf: 1.000, supp: 0.309, lift: 1.000, conv: 0.000)
{4995} -> {1} (conf: 1.000, supp: 0.170, lift: 1.000, conv: 0.000)
{5060} -> {1} (conf: 1.000, supp: 0.108, lift: 1.000, conv: 0.000)
{5349} -> {1} (conf: 1.000, supp: 0.168, lift: 1.000, conv: 0.000)
{5418} -> {1} (conf: 1.000, supp: 0.160, lift: 1.000, conv: 0.000)
{5445} -> {1} (conf: 1.000, supp: 0.160, lift: 1.000, conv: 0.000)
{5618} -> {1} (conf: 1.000, supp: 0.118, lift: 1.000, conv: 0.000)
{5816} -> {1} (conf: 1.000, supp: 0.103, lift: 1.000, conv: 0.000)
{5952} -> {1} (conf: 1.000, supp: 0.277, lift: 1.000, conv: 0.000)
{5989} -> {1} (conf: 1.000, supp: 0.148, lift: 1.000, conv: 0.000)
{6333} -> {1} (conf: 1.000, supp: 0.119, lift: 1.000, conv: 0.000)
{6377} -> {1} (conf: 1.000, supp: 0.244, lift: 1.000, conv: 0.000)
{6539} -> {1} (conf: 1.000, supp: 0.205, lift: 1.000, conv: 0.000)
{6711} -> {1} (conf: 1.000, supp: 0.108, lift: 1.000, conv: 0.000)
{6874} -> {1} (conf: 1.000, supp: 0.163, lift: 1.000, conv: 0.000)
{7153} -> {1} (conf: 1.000, supp: 0.259, lift: 1.000, conv: 0.000)
{7361} -> {1} (conf: 1.000, supp: 0.171, lift: 1.000, conv: 0.000)
{7438} -> {1} (conf: 1.000, supp: 0.138, lift: 1.000, conv: 0.000)
{8360} -> {1} (conf: 1.000, supp: 0.115, lift: 1.000, conv: 0.000)
{8368} -> {1} (conf: 1.000, supp: 0.111, lift: 1.000, conv: 0.000)
{8636} -> {1} (conf: 1.000, supp: 0.118, lift: 1.000, conv: 0.000)
{8665} -> {1} (conf: 1.000, supp: 0.104, lift: 1.000, conv: 0.000)
{8961} -> {1} (conf: 1.000, supp: 0.206, lift: 1.000, conv: 0.000)
{32587} -> {1} (conf: 1.000, supp: 0.112, lift: 1.000, conv: 0.000)
{33794} -> {1} (conf: 1.000, supp: 0.163, lift: 1.000, conv: 0.000)
{44191} -> {1} (conf: 1.000, supp: 0.107, lift: 1.000, conv: 0.000)
{48516} -> {1} (conf: 1.000, supp: 0.112, lift: 1.000, conv: 0.000)
{58559} -> {1} (conf: 1.000, supp: 0.153, lift: 1.000, conv: 0.000)
{60069} -> {1} (conf: 1.000, supp: 0.117, lift: 1.000, conv: 0.000)
{111} -> {296} (conf: 0.832, supp: 0.157, lift: 1.691, conv: 3.020)
{1127} -> {260} (conf: 0.834, supp: 0.106, lift: 1.595, conv: 2.874)
{1196} -> {260} (conf: 0.876, supp: 0.376, lift: 1.676, conv: 3.857)
{1200} -> {260} (conf: 0.818, supp: 0.199, lift: 1.564, conv: 2.617)
{1210} -> {260} (conf: 0.875, supp: 0.373, lift: 1.674, conv: 3.824)
{1214} -> {260} (conf: 0.806, supp: 0.214, lift: 1.541, conv: 2.460)
{1291} -> {260} (conf: 0.808, supp: 0.247, lift: 1.545, conv: 2.486)
{1374} -> {260} (conf: 0.884, supp: 0.116, lift: 1.690, conv: 4.112)
{1387} -> {260} (conf: 0.807, supp: 0.156, lift: 1.544, conv: 2.478)
{1954} -> {260} (conf: 0.813, supp: 0.100, lift: 1.554, conv: 2.545)
{2115} -> {260} (conf: 0.804, supp: 0.129, lift: 1.537, conv: 2.431)
{2628} -> {260} (conf: 0.837, supp: 0.107, lift: 1.602, conv: 2.935)
{1089} -> {296} (conf: 0.892, supp: 0.206, lift: 1.812, conv: 4.685)
{1206} -> {296} (conf: 0.811, supp: 0.151, lift: 1.649, conv: 2.689)
{1208} -> {296} (conf: 0.802, supp: 0.146, lift: 1.630, conv: 2.569)
{1213} -> {296} (conf: 0.835, supp: 0.193, lift: 1.697, conv: 3.081)
{1222} -> {296} (conf: 0.814, supp: 0.145, lift: 1.654, conv: 2.725)
{1732} -> {296} (conf: 0.816, supp: 0.131, lift: 1.658, conv: 2.756)
{2542} -> {296} (conf: 0.825, supp: 0.103, lift: 1.677, conv: 2.908)
{4011} -> {296} (conf: 0.834, supp: 0.114, lift: 1.695, conv: 3.059)
{4878} -> {296} (conf: 0.800, supp: 0.107, lift: 1.627, conv: 2.544)
{6874} -> {296} (conf: 0.825, supp: 0.135, lift: 1.678, conv: 2.910)
{7438} -> {296} (conf: 0.843, supp: 0.117, lift: 1.713, conv: 3.235)
{508} -> {318} (conf: 0.801, supp: 0.109, lift: 1.518, conv: 2.374)
{2268} -> {318} (conf: 0.804, supp: 0.106, lift: 1.523, conv: 2.410)
{2329} -> {318} (conf: 0.807, supp: 0.144, lift: 1.528, conv: 2.442)
{3147} -> {318} (conf: 0.816, supp: 0.151, lift: 1.547, conv: 2.571)
{474} -> {457} (conf: 0.816, supp: 0.102, lift: 2.163, conv: 3.378)
{745} -> {1148} (conf: 0.813, supp: 0.124, lift: 4.582, conv: 4.408)
{1221} -> {858} (conf: 0.947, supp: 0.208, lift: 2.761, conv: 12.445)
{1080} -> {1136} (conf: 0.848, supp: 0.148, lift: 2.642, conv: 4.467)
{1090} -> {1198} (conf: 0.803, supp: 0.110, lift: 1.902, conv: 2.938)
{1127} -> {1196} (conf: 0.837, supp: 0.107, lift: 1.953, conv: 3.507)
{1127} -> {1198} (conf: 0.818, supp: 0.104, lift: 1.937, conv: 3.181)
{1200} -> {1196} (conf: 0.824, supp: 0.200, lift: 1.922, conv: 3.242)
{1291} -> {1196} (conf: 0.812, supp: 0.248, lift: 1.893, conv: 3.032)
{1374} -> {1196} (conf: 0.884, supp: 0.116, lift: 2.062, conv: 4.915)
{2115} -> {1196} (conf: 0.816, supp: 0.131, lift: 1.904, conv: 3.107)
{2628} -> {1196} (conf: 0.833, supp: 0.107, lift: 1.943, conv: 3.422)
{1200} -> {1198} (conf: 0.804, supp: 0.196, lift: 1.904, conv: 2.954)
{1201} -> {1198} (conf: 0.812, supp: 0.102, lift: 1.921, conv: 3.066)
{1291} -> {1198} (conf: 0.892, supp: 0.273, lift: 2.111, conv: 5.336)
{1374} -> {1198} (conf: 0.847, supp: 0.111, lift: 2.005, conv: 3.775)
{1387} -> {1198} (conf: 0.823, supp: 0.159, lift: 1.948, conv: 3.261)
{1954} -> {1198} (conf: 0.824, supp: 0.102, lift: 1.951, conv: 3.285)
{2000} -> {1198} (conf: 0.816, supp: 0.116, lift: 1.933, conv: 3.147)
{2115} -> {1198} (conf: 0.895, supp: 0.144, lift: 2.118, conv: 5.489)
{2194} -> {1198} (conf: 0.833, supp: 0.116, lift: 1.972, conv: 3.459)
{2628} -> {1210} (conf: 0.815, supp: 0.104, lift: 1.914, conv: 3.106)
{2011} -> {1270} (conf: 0.934, supp: 0.115, lift: 2.402, conv: 9.323)
{2115} -> {1291} (conf: 0.815, supp: 0.131, lift: 2.665, conv: 3.756)
{1653} -> {2571} (conf: 0.826, supp: 0.114, lift: 1.965, conv: 3.338)
{2542} -> {2571} (conf: 0.809, supp: 0.101, lift: 1.923, conv: 3.030)
{2916} -> {2571} (conf: 0.839, supp: 0.115, lift: 1.994, conv: 3.589)
{3793} -> {2571} (conf: 0.836, supp: 0.150, lift: 1.988, conv: 3.533)
{4011} -> {2571} (conf: 0.843, supp: 0.115, lift: 2.005, conv: 3.699)
{4878} -> {2571} (conf: 0.807, supp: 0.107, lift: 1.919, conv: 3.001)
{5349} -> {2571} (conf: 0.804, supp: 0.135, lift: 1.912, conv: 2.958)
